txn_id,txn_date,rail,mcc,currency,local_amount,fx_rate,gross_usd,expected_interchange,expected_scheme_fee,expected_net
TXN000001,2026-06-14,cross_border,5912 Pharmacy,MXN,9350.55,0.0542,506.8,11.0,5.57,490.23
TXN000002,2026-06-08,card_present_debit,5814 Fast Food,USD,52.19,1.0,52.19,0.76,0.07,51.36
TXN000003,2026-06-01,cross_border,5732 Electronics,JPY,32120.12,0.00641,205.89,4.53,2.26,199.1
TXN000004,2026-06-12,card_present_debit,5541 Fuel,USD,155.28,1.0,155.28,1.84,0.2,153.24
TXN000005,2026-06-07,ecom_debit,5814 Fast Food,USD,269.26,1.0,269.26,3.99,0.35,264.92
TXN000006,2026-06-11,card_present_debit,5814 Fast Food,USD,41.06,1.0,41.06,0.64,0.05,40.37
TXN000007,2026-06-05,card_present_debit,5912 Pharmacy,USD,69.6,1.0,69.6,0.94,0.09,68.57
TXN000008,2026-06-01,cross_border,5732 Electronics,EUR,592.49,1.082,641.07,13.88,7.05,620.14
TXN000009,2026-06-13,card_present_credit,4899 Streaming,USD,194.5,1.0,194.5,3.31,0.27,190.92
TXN000010,2026-06-02,card_present_debit,4121 Rideshare,USD,69.63,1.0,69.63,0.94,0.09,68.6
TXN000011,2026-06-10,card_present_credit,5814 Fast Food,USD,310.39,1.0,310.39,5.22,0.43,304.74
TXN000012,2026-06-14,card_present_debit,5912 Pharmacy,USD,63.44,1.0,63.44,0.88,0.08,62.48
TXN000013,2026-06-09,ecom_credit,5812 Restaurants,USD,362.77,1.0,362.77,7.17,0.51,355.09
TXN000014,2026-06-11,card_present_credit,5541 Fuel,USD,283.0,1.0,283.0,4.77,0.4,277.83
TXN000015,2026-06-01,card_present_debit,5812 Restaurants,USD,178.11,1.0,178.11,2.08,0.23,175.8
TXN000016,2026-06-06,card_present_credit,5732 Electronics,USD,35.37,1.0,35.37,0.68,0.05,34.64
TXN000017,2026-06-03,card_present_debit,5732 Electronics,USD,146.8,1.0,146.8,1.75,0.19,144.86
TXN000018,2026-06-08,card_present_credit,5411 Grocery,USD,319.93,1.0,319.93,5.38,0.45,314.1
TXN000019,2026-06-07,cross_border,5912 Pharmacy,CAD,1203.04,0.731,879.42,19.01,9.67,850.74
TXN000020,2026-06-01,ecom_credit,5812 Restaurants,USD,385.85,1.0,385.85,7.62,0.54,377.69
TXN000021,2026-06-14,card_present_debit,5732 Electronics,USD,194.75,1.0,194.75,2.25,0.25,192.25
TXN000022,2026-06-02,ecom_credit,5999 Retail,USD,482.57,1.0,482.57,9.51,0.68,472.38
TXN000023,2026-06-12,card_present_debit,5732 Electronics,USD,179.51,1.0,179.51,2.09,0.23,177.19
TXN000024,2026-06-02,ecom_debit,5814 Fast Food,USD,204.37,1.0,204.37,3.08,0.27,201.02
TXN000025,2026-06-06,ecom_credit,5541 Fuel,USD,356.54,1.0,356.54,7.05,0.5,348.99
TXN000026,2026-06-05,ecom_credit,5999 Retail,USD,218.05,1.0,218.05,4.35,0.31,213.39
TXN000027,2026-06-05,card_present_credit,5411 Grocery,USD,198.36,1.0,198.36,3.37,0.28,194.71
TXN000028,2026-06-03,ecom_credit,7011 Lodging,USD,586.22,1.0,586.22,11.53,0.82,573.87
TXN000029,2026-06-09,cross_border,5812 Restaurants,CAD,780.27,0.731,570.38,12.36,6.27,551.75
TXN000030,2026-06-10,card_present_credit,5411 Grocery,USD,185.66,1.0,185.66,3.16,0.26,182.24
TXN000031,2026-06-10,ecom_credit,5411 Grocery,USD,425.69,1.0,425.69,8.4,0.6,416.69
TXN000032,2026-06-02,card_present_credit,5814 Fast Food,USD,202.11,1.0,202.11,3.43,0.28,198.4
